Identifiant ArcGIS;Nom du site;Adresse;Code Site;Arrondissement;geo_shape;geo_point_2d
258;JARDIN D EOLE;18 BIS RUE DU DEPARTEMENT;PARIS_WIFI_1805;75018;"{""type"": ""Point"", ""coordinates"": [2.3655587380873526, 48.887133326192405]}";48.8871333262, 2.36555873809
304;MAISON DES ASSOCIATIONS DU 20;1, RUE FREDERICK LEMAITRE;PARIS_WIFI_2014;75020;"{""type"": ""Point"", ""coordinates"": [2.391003412086227, 48.87349262672056]}";48.8734926267, 2.39100341209
315;SQUARE PIXERECOURT;RUE PIXERECOURT;PARIS_WIFI_2025;75020;"{""type"": ""Point"", ""coordinates"": [2.396239739728869, 48.873254491104106]}";48.8732544911, 2.39623973973
308;PARC DE BELLEVILLE;45, RUE DES COURONNES;PARIS_WIFI_2018;75020;"{""type"": ""Point"", ""coordinates"": [2.3848333850297605, 48.870572219479115]}";48.8705722195, 2.38483338503
314;SQUARE EMMANUELLE FLEURY;RUE LE VAU;PARIS_WIFI_2024;75020;"{""type"": ""Point"", ""coordinates"": [2.411041830819679, 48.86997876954351]}";48.8699787695, 2.41104183082
7;MAIRIE  02;8, RUE DE LA BANQUE;PARIS_WIFI_0202;75002;"{""type"": ""Point"", ""coordinates"": [2.340426614688593, 48.86687915281814]}";48.8668791528, 2.34042661469
59;BIBLIOTHEQUE SAINT SIMON (MAIRIE DU 7E);116, RUE DE GRENELLE;PARIS_WIFI_0702;75007;"{""type"": ""Point"", ""coordinates"": [2.319813150100944, 48.85690521733102]}";48.8569052173, 2.3198131501
73;MAIRIE  08;3, RUE DE LISBONNE;PARIS_WIFI_0805;75008;"{""type"": ""Point"", ""coordinates"": [2.317650842450354, 48.87777080776416]}";48.8777708078, 2.31765084245
89;SQUARE TRINITE D ESTIENNE D ORVES;RUE BLANCHE;PARIS_WIFI_0909;75009;"{""type"": ""Point"", ""coordinates"": [2.3312562933317604, 48.87679312861409]}";48.8767931286, 2.33125629333
30;MAISON DES ASSOCIATIONS DU 04;38, BOULEVARD HENRI IV;PARIS_WIFI_0416;75004;"{""type"": ""Point"", ""coordinates"": [2.3664169901845375, 48.85219499458265]}";48.8521949946, 2.36641699018
76;MUSEE DU PETIT PALAIS;1, AVENUE DUTUIT;PARIS_WIFI_0808;75008;"{""type"": ""Point"", ""coordinates"": [2.3143286616724206, 48.86605926215696]}";48.8660592622, 2.31432866167
1;BIBLIOTHEQUE FRANCOIS TRUFFAUT;FORUM DES HALLES;PARIS_WIFI_0101;75001;"{""type"": ""Point"", ""coordinates"": [2.346259579532001, 48.86197500106993]}";48.8619750011, 2.34625957953
47;JARDIN TINO ROSSI;8 QUAI SAINT BERNARD;PARIS_WIFI_0507;75005;"{""type"": ""Point"", ""coordinates"": [2.359132146681017, 48.84831847624935]}";48.8483184762, 2.35913214668
94;BOURSE DU TRAVAIL;3, RUE DU CHATEAU D'EAU;PARIS_WIFI_1004;75010;"{""type"": ""Point"", ""coordinates"": [2.36207728770262, 48.869038508309224]}";48.8690385083, 2.3620772877
40;SQUARE SAINT MEDARD;32 RUE CENSIER;PARIS_WIFI_0513;75005;"{""type"": ""Point"", ""coordinates"": [2.350530078011329, 48.839761189862855]}";48.8397611899, 2.35053007801
63;MAISON DES ASSOCIATIONS DU 07;93, RUE SAINT DOMINIQUE;PARIS_WIFI_0706;75007;"{""type"": ""Point"", ""coordinates"": [2.3072081784243665, 48.859567099927375]}";48.8595670999, 2.30720817842
32;PARVIS DE L'HOTEL DE VILLE (RIVOLI);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0418;75004;"{""type"": ""Point"", ""coordinates"": [2.3520190630903124, 48.85660412214855]}";48.8566041221, 2.35201906309
55;MAISON DES ASSOCIATIONS DU 06;60, RUE SAINT ANDRE DES ARTS;PARIS_WIFI_0603;75006;"{""type"": ""Point"", ""coordinates"": [2.339607451618665, 48.8535493008513]}";48.8535493009, 2.33960745162
95;CENTRE D'ANIMATION ESPACE JEMMAPES;116, QUAI DE JEMMAPES;PARIS_WIFI_1005;75010;"{""type"": ""Point"", ""coordinates"": [2.363910673190262, 48.87504226943705]}";48.8750422694, 2.36391067319
4;DISCOTHEQUE DES HALLES;8, PORTE SAINT EUSTACHE;PARIS_WIFI_0104;75001;"{""type"": ""Point"", ""coordinates"": [2.3466433820407713, 48.862272857254126]}";48.8622728573, 2.34664338204
15;SQUARE GEORGES CAIN;14, RUE PAYENNE;PARIS-WIFI_0307;75003;"{""type"": ""Point"", ""coordinates"": [2.3630645673317128, 48.8581334655744]}";48.8581334656, 2.36306456733
31;PARVIS DE L'HOTEL DE VILLE (9, PLACE);9, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0417;75004;"{""type"": ""Point"", ""coordinates"": [2.351203352003824, 48.857254117659956]}";48.8572541177, 2.351203352
33;PARVIS DE L'HOTEL DE VILLE (SEINE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0419;75004;"{""type"": ""Point"", ""coordinates"": [2.3519434844201887, 48.8564668226057]}";48.8564668226, 2.35194348442
37;SQUARE LOUIS XIII;30 PLACE DES VOSGES;PARIS_WIFI_0423;75004;"{""type"": ""Point"", ""coordinates"": [2.3659474998887404, 48.85603014922386]}";48.8560301492, 2.36594749989
80;SQUARE LOUIS XVI;RUE PASQUIER;PARIS_WIFI_0812;75008;"{""type"": ""Point"", ""coordinates"": [2.3227885693525607, 48.873919291293284]}";48.8739192913, 2.32278856935
92;BIBLIOTHEQUE FRANCOIS VILLON;81, BOULEVARD DE LA VILLETTE;PARIS_WIFI_1002;75010;"{""type"": ""Point"", ""coordinates"": [2.370769407435742, 48.87724562731623]}";48.8772456273, 2.37076940744
110;JARDIN BATACLAN;102, BOULEVARD RICHARD LENOIR;PARIS_WIFI_1104;75011;"{""type"": ""Point"", ""coordinates"": [2.3716398508953835, 48.86334175698711]}";48.863341757, 2.3716398509
197;SQUARE FERDINAND BRUNOT;PLACE FERDINAND BRUNOT;PARIS_WIFI_1417;75014;"{""type"": ""Point"", ""coordinates"": [2.3268491478684314, 48.832315529214455]}";48.8323155292, 2.32684914787
113;JARDIN LOUIS MAJORELLE;24, RUE DE LA FORGE ROYALE;PARIS_WIFI_1107;75011;"{""type"": ""Point"", ""coordinates"": [2.3810300590349587, 48.85197245449524]}";48.8519724545, 2.38103005903
119;SQUARE DES JARDINIERS;2 PASSAGE DUMAS;PARIS_WIFI_1113;75011;"{""type"": ""Point"", ""coordinates"": [2.3905001083667377, 48.85206467454994]}";48.8520646745, 2.39050010837
137;MAISON DES ASSOCIATIONS DU 12;181, AVENUE DAUMESNIL;PARIS_WIFI_1216;75012;"{""type"": ""Point"", ""coordinates"": [2.3924023611411314, 48.84049832012111]}";48.8404983201, 2.39240236114
144;SQUARE CHARLES PEGUY;RUE ROTTEMBOURG;PARIS_WIFI_1223;75012;"{""type"": ""Point"", ""coordinates"": [2.406748751661989, 48.838741649276535]}";48.8387416493, 2.40674875166
204;BIBLIOTHEQUE YOURCENAR;41, RUE D ALLERAY;PARIS_WIFI_1505;75015;"{""type"": ""Point"", ""coordinates"": [2.303510691732446, 48.836860495273]}";48.8368604953, 2.30351069173
143;SOLARIUM ROGER LE GALL;34, BOULEVARD CARNOT;PARIS_WIFI_1222;75012;"{""type"": ""Point"", ""coordinates"": [2.4126261400349467, 48.841897257939785]}";48.8418972579, 2.41262614003
145;SQUARE SAINT ELOI;15, RUE SAINTE CLAIRE DEVILLE;PARIS_WIFI_1224;75012;"{""type"": ""Point"", ""coordinates"": [2.3871086672094153, 48.84419225130575]}";48.8441922513, 2.38710866721
154;Centre Sportif Georges Carpentier Gymnase Annexe;81, BOULEVARD MASSENA;PARIS_WIFI_1307;75013;"{""type"": ""Point"", ""coordinates"": [2.3682485295673503, 48.820600553931804]}";48.8206005539, 2.36824852957
149;BIBLIOTHEQUE ITALIE;211, BOULEVARD VINCENT AURIOL;PARIS_WIFI_1302;75013;"{""type"": ""Point"", ""coordinates"": [2.3570688957460053, 48.830919616345376]}";48.8309196163, 2.35706889575
151;CENTRE D'ACCUEIL KELLERMANN;17, BOULEVARD KELLERMANN;PARIS_WIFI_1304;75013;"{""type"": ""Point"", ""coordinates"": [2.356650364325669, 48.819741417211226]}";48.8197414172, 2.35665036433
193;PARC MONTSOURIS;2, RUE GAZAN;PARIS_WIFI_1413;75014;"{""type"": ""Point"", ""coordinates"": [2.3397562107027596, 48.82396268559188]}";48.8239626856, 2.3397562107
195;SQUARE CLAUDE NICOLAS LEDOUX;2, PLACE DENFERT ROCHEREAU;PARIS_WIFI_1415;75014;"{""type"": ""Point"", ""coordinates"": [2.331338819454327, 48.83431393479334]}";48.8343139348, 2.33133881945
112;JARDIN DAMIA (ex ZAC DORIAN);PASSAGE DU BUREAU;PARIS_WIFI_1106;75011;"{""type"": ""Point"", ""coordinates"": [2.394018259518072, 48.85485158143665]}";48.8548515814, 2.39401825952
176;SQUARE HENRI CADIOU;69, BOULEVARD ARAGO;PARIS_WIFI_1329;75013;"{""type"": ""Point"", ""coordinates"": [2.342434440920686, 48.83444345888076]}";48.8344434589, 2.34243444092
106;MEDIATHEQUE FRANCOISE SAGAN;9 RUE LEON SCHWARTZENBERG;PARIS_WIFI_1016;75010;"{""type"": ""Point"", ""coordinates"": [2.3538434688898717, 48.87572195942991]}";48.8757219594, 2.35384346889
